device_name_actual,school_name_official,gender,sch_psle,level
29694,Mayflower Secondary School,99.0,3.0,2
29697,Mayflower Secondary School,99.0,3.0,2
29698,Mayflower Secondary School,99.0,3.0,1
29700,Mayflower Secondary School,99.0,3.0,1
29703,Mayflower Secondary School,99.0,3.0,2
29730,Mayflower Secondary School,99.0,3.0,2
29731,Mayflower Secondary School,99.0,3.0,1
29736,Mayflower Secondary School,99.0,3.0,2
29737,Mayflower Secondary School,99.0,3.0,1
29738,Mayflower Secondary School,99.0,3.0,2
29760,Mayflower Secondary School,99.0,3.0,2
29763,Mayflower Secondary School,99.0,3.0,1
29783,Mayflower Secondary School,99.0,3.0,2
29789,Mayflower Secondary School,99.0,3.0,2
29871,Mayflower Secondary School,99.0,3.0,1
29879,Mayflower Secondary School,99.0,3.0,2
29907,Mayflower Secondary School,99.0,3.0,2
29909,Mayflower Secondary School,99.0,3.0,2
29972,Mayflower Secondary School,99.0,3.0,1
29978,Mayflower Secondary School,99.0,3.0,1
30026,Mayflower Secondary School,99.0,3.0,2
30051,Mayflower Secondary School,99.0,3.0,2
30053,Mayflower Secondary School,99.0,3.0,2
30078,Mayflower Secondary School,99.0,3.0,2
30081,Mayflower Secondary School,99.0,3.0,1
30105,Mayflower Secondary School,99.0,3.0,2
30114,Mayflower Secondary School,99.0,3.0,1
30121,Mayflower Secondary School,99.0,3.0,2
30146,Mayflower Secondary School,99.0,3.0,2
30244,Mayflower Secondary School,99.0,3.0,2
30266,Mayflower Secondary School,99.0,3.0,2
30303,Mayflower Secondary School,99.0,3.0,2
436,Xinmin Secondary School,99.0,3.0,2
40985,Xinmin Secondary School,99.0,3.0,2
47488,Xinmin Secondary School,99.0,3.0,2
47489,Xinmin Secondary School,99.0,3.0,1
47491,Xinmin Secondary School,99.0,3.0,2
47492,Xinmin Secondary School,99.0,3.0,2
47495,Xinmin Secondary School,99.0,3.0,2
47500,Xinmin Secondary School,99.0,3.0,1
47507,Xinmin Secondary School,99.0,3.0,2
47509,Xinmin Secondary School,99.0,3.0,2
47511,Xinmin Secondary School,99.0,3.0,1
47512,Xinmin Secondary School,99.0,3.0,2
47513,Xinmin Secondary School,99.0,3.0,1
47514,Xinmin Secondary School,99.0,3.0,1
47519,Xinmin Secondary School,99.0,3.0,2
47520,Xinmin Secondary School,99.0,3.0,2
47521,Xinmin Secondary School,99.0,3.0,2
47523,Xinmin Secondary School,99.0,3.0,2
47530,Xinmin Secondary School,99.0,3.0,1
