website,category_1,confidence_1,category_2,confidence_2,error,status
allrecipes.com,Restaurants & Dining,0.869636476,Arts & Entertainment,0.1999601275,FALSE,200
manhwaclan.com,Arts & Entertainment,0.9837403893,Computers & Technology,0.5033954382,FALSE,200
xiangqi.com,Gaming,0.9651675224,Gaming,0.9074598551,FALSE,200
smallerfords.com,,,,,TRUE,410
mayoclinic.org,Health & Medicine,0.9308317304,,,FALSE,200
cs.com,Weapons,0.2328639179,News/Media,0.1575203389,FALSE,200
wolframalpha.com,Computers & Technology,0.2808253467,Education/Reference,0.280028969,FALSE,200
lemon8-app.com,Arts & Entertainment,0.190614,Social Networking,0.1164840609,FALSE,200
espn.com.sg,News/Media,0.781035006,Sports & Recreation,0.2856831551,FALSE,200
scanning.com,,,,,TRUE,410
eephaush.com,,,,,TRUE,410
track.com,,,,,FALSE,200
ww1.com,,,,,TRUE,411
tapas.io,Arts & Entertainment,0.8492379785,Computers & Technology,0.2538976371,FALSE,200
rwsentosa.com,Automotive & Transportation,0.7968120575,Automotive & Transportation,0.3377905488,FALSE,200
viagogo.com,Arts & Entertainment,0.7527010441,,,FALSE,200
online-stopwatch.com,Computers & Technology,0.5467345119,Education/Reference,0.4415788352,FALSE,200
contexto.me,Gaming,0.5992270112,Gaming,0.5957042575,FALSE,200
visitsingapore.com,Automotive & Transportation,0.2495943904,Education/Reference,0.2290178537,FALSE,200
yesmovies.mn,Arts & Entertainment,1,Arts & Entertainment,0.3648861051,FALSE,200
help.com,,,,,TRUE,411
ingelsoong.com,Education/Reference,0.6475496292,Education/Reference,0.5072720647,FALSE,200
aralego.net,,,,,TRUE,410
sgtrains.com,Automotive & Transportation,0.8236004114,Automotive & Transportation,0.5538043976,FALSE,200
polite.edu.sg,,,,,TRUE,410
x-plane.com,Computers & Technology,1,,,FALSE,200
nvidia.com,Computers & Technology,0.7484968901,News/Media,0.1970554888,FALSE,200
tsyndicate.com,,,,,TRUE,411
time.com,Arts & Entertainment,0.6525070071,News/Media,0.5787687898,FALSE,200
boredpanda.com,Arts & Entertainment,0.2574731112,Pets & Animals,0.2462445349,FALSE,200
vaitotoo.net,,,,,TRUE,410
zatloudredr.com,,,,,TRUE,410
admin.com,Computers & Technology,0.9699090719,Arts & Entertainment,0.4644992054,FALSE,200
goldquest.com,,,,,TRUE,410
manhuaplus.com,,,,,TRUE,411
txmblr.com,,,,,TRUE,410
slides.google.com,Computers & Technology,1,Computers & Technology,0.7153000832,FALSE,200
mathtag.com,Arts & Entertainment,0.5477957129,Science,0.1915117353,FALSE,200
collinsdictionary.com,Education/Reference,0.8822341561,Education/Reference,0.1460971683,FALSE,200
gloorsie.com,,,,,TRUE,410
newgrounds.com,Gaming,0.2080211639,Gaming,0.1032967344,FALSE,200
onshape.com,Computers & Technology,0.8547468781,Arts & Entertainment,0.6113793254,FALSE,200
ardencyturbeth.uno,,,,,TRUE,410
ww6.tv,,,,,TRUE,410
us02web.us,,,,,TRUE,410
papaspizzeria.io,Gaming,0.8309157491,Gaming,0.8144839406,FALSE,200
vengeful-egg.com,,,,,TRUE,411
sgwiki.com,Automotive & Transportation,0.5519479513,Automotive & Transportation,0.528814137,FALSE,200
wallpaperflare.com,Community Sites,0.9383545518,Computers & Technology,0.117813237,FALSE,200
people-pa.clients6.google.com,,,,,TRUE,411
altairaquilae.top,Science,0.9788024426,,,FALSE,200
weverseshop.io,Arts & Entertainment,0.7838734388,Arts & Entertainment,0.7169866562,FALSE,200
bidswitch.net,,,,,TRUE,410
career-seeker.com,Job Search/Careers,0.5774835944,Job Search/Careers,0.3396663368,FALSE,200
mediav.com,Advertising/Marketing,0.3663339913,,,FALSE,200
tds.com,,,,,FALSE,200
ribblr.com,Arts & Entertainment,0.2709390521,Education/Reference,0.2455953658,FALSE,200
hints.com,Gaming,0.2444607168,Education/Reference,0.244267121,FALSE,200
typing.com,Computers & Technology,0.7332442999,Computers & Technology,0.5779621005,FALSE,200
towerdefense2.com,,,,,TRUE,410
unsplash.com,Arts & Entertainment,0.7831434608,Shopping,0.3555476069,FALSE,200
seesaw.me,Education/Reference,0.7921979427,Education/Reference,0.7722964883,FALSE,200
w3schools.com,Web-based Applications,0.6975566745,Education/Reference,0.5373227,FALSE,200
enka.network,Gaming,0.7999212146,Gaming,0.4743221998,FALSE,200
gameflare.com,Gaming,0.8924409747,Gaming,0.4897654653,FALSE,200
ytmp3.nu,,,,,TRUE,411
calculatorsoup.com,Education/Reference,0.9758121371,Science,0.2948772311,FALSE,200
knowyourmeme.com,Arts & Entertainment,0.9089056253,Arts & Entertainment,0.5430918336,FALSE,200
pianmanga.me,Arts & Entertainment,0.9837458134,Computers & Technology,0.4144058228,FALSE,200
cognitoedu.org,Education/Reference,0.7705594897,Education/Reference,0.5556969643,FALSE,200
api.com,,,,,TRUE,410
gotrackier.com,,,,,TRUE,411
clicks.com,Sports & Recreation,0.6400926709,,,FALSE,200
cs-rtb.com,,,,,TRUE,410
poetryfoundation.org,Arts & Entertainment,0.9828177691,Arts & Entertainment,0.2074307948,FALSE,200
slides.new,Computers & Technology,0.6460493803,Business,0.2005557418,FALSE,200
watsons.com.sg,Health & Medicine,0.4361054003,Shopping,0.2902301252,FALSE,200
tsdtocl.com,,,,,FALSE,200
game8.co,Gaming,0.657566905,,,FALSE,200
mandai.com,Automotive & Transportation,0.8343627453,Pets & Animals,0.4764801264,FALSE,200
8ballpool.com,Sports & Recreation,0.9037029147,Gaming,0.8847818375,FALSE,200
sto.cx,,,,,TRUE,411
godamanga.com,Arts & Entertainment,0.9088351727,,,FALSE,200
wolvesville.com,Gaming,0.2790437341,Gaming,0.1812817752,FALSE,200
1drv.ms,,,,,TRUE,411
ko-fi.com,Business,0.507301569,Financial Services,0.1997829527,FALSE,200
moodlecloud.com,Education/Reference,0.738774538,Computers & Technology,0.6601660252,FALSE,200
mangapuma.com,Arts & Entertainment,0.992010355,,,FALSE,200
singtel.com,Computers & Technology,0.6799290776,News/Media,0.3592726886,FALSE,200
animension.to,Arts & Entertainment,0.9246069193,Arts & Entertainment,0.189222306,FALSE,200
trustpilot.com,Shopping,0.530775249,,,FALSE,200
lenovo.com,Computers & Technology,0.4363705516,Computers & Technology,0.2318110168,FALSE,200
tuitionkenneth.com,Education/Reference,0.9687731862,Science,0.5724188089,FALSE,200
i.com,,,,,TRUE,410
ext-twitch.tv,,,,,TRUE,410
nextmillmedia.com,,,,,TRUE,410
dooloust.net,,,,,TRUE,410
trimble.com,Computers & Technology,0.456859529,Computers & Technology,0.3205088079,FALSE,200
abrsm.org,Arts & Entertainment,0.621352911,Education/Reference,0.61804986,FALSE,200
fotor.com,Computers & Technology,1,Computers & Technology,0.3715694547,FALSE,200
blue-lock-manga.com,Arts & Entertainment,0.9937235713,Computers & Technology,0.4825930297,FALSE,200
novelship.com,Shopping,0.3426918387,,,FALSE,200
ntrix.sg,,,,,TRUE,411
binomnet3.com,,,,,TRUE,410
navy.quest,Gaming,0.6356189251,Gaming,0.6142327785,FALSE,200
myactivesg.com,Sports & Recreation,0.408184737,News/Media,0.1955106258,FALSE,200
popularonline.com.sg,Business,0.9485245943,Shopping,0.4028192163,FALSE,200
chompchomp.com,Education/Reference,0.4155010879,,,FALSE,200
movies7.to,,,,,TRUE,411
grunoaph.net,,,,,TRUE,410
beiwobook.cc,Computers & Technology,0.9945552349,,,FALSE,200
baozimh.com,Arts & Entertainment,0.7112830877,Computers & Technology,0.6233019233,FALSE,200
fiverr.com,Job Search/Careers,0.4516898692,Web-based Applications,0.3721992075,FALSE,200
pos.com,Computers & Technology,0.875041604,Computers & Technology,0.4497324824,FALSE,200
mdbg.net,Education/Reference,0.7876827717,Education/Reference,0.7374334931,FALSE,200
innity.net,Advertising/Marketing,0.6037825346,Advertising/Marketing,0.3136423528,FALSE,200
windowsazure.com,Web-based Applications,0.3790464699,Computers & Technology,0.153588593,FALSE,200
miraculous.to,Arts & Entertainment,0.9929584265,Arts & Entertainment,0.7061082125,FALSE,200
online-voice-recorder.com,Computers & Technology,0.9102929235,Computers & Technology,0.4962585866,FALSE,200
minutelabs.io,Gaming,0.3857657015,Gaming,0.3478766382,FALSE,200
rabbitstream.net,File Sharing/P2P,0.545833528,Social Networking,0.4505987167,FALSE,200
footlocker.sg,Shopping,0.6359591484,Shopping,0.4267559648,FALSE,200
manhuamanhwa.com,Arts & Entertainment,0.9936972857,Computers & Technology,0.2874646783,FALSE,200
phumpauk.com,,,,,TRUE,410
usgs.gov,Government & Legal,0.7944059372,Science,0.3445591629,FALSE,200
mtlnovel.com,,,,,TRUE,411
hm.com,Shopping,0.7320447564,Shopping,0.1285504401,FALSE,200
gaamess.com,Gaming,0.8528829217,Gaming,0.6942674518,FALSE,200
cryptohack.com,,,,,TRUE,411
mycareersfuture.gov.sg,Job Search/Careers,0.8042647243,Job Search/Careers,0.3751645088,FALSE,200
pay.google.com,,,,,TRUE,410
hubspot.com,Computers & Technology,0.6213213801,Computers & Technology,0.4075009227,FALSE,200
shueisha.co.jp,Arts & Entertainment,0.8293853402,Business,0.6410785913,FALSE,200
